question,question_type,precision_llama_rag,recall_llama_rag,f1_llama_rag,precision_llama,recall_llama,f1_llama,precision_gpt_rag,recall_gpt_rag,f1_gpt_rag,precision_gpt,recall_gpt,f1_gpt,precision_deepseek_rag,recall_deepseek_rag,f1_deepseek_rag,precision_deepseek,recall_deepseek,f1_deepseek,precision_claude_rag,recall_claude_rag,f1_claude_rag,precision_claude,recall_claude,f1_claude
What is the Essence standard by SEMAT? Write less than 100 words.,information,0.8577656745910645,0.8866221308708191,0.871955156326294,0.9117549061775208,0.9036948680877686,0.9077069759368896,0.8537634611129761,0.8919751644134521,0.87245112657547,0.8848639130592346,0.8988271951675415,0.8917908668518066,0.8762766718864441,0.892890453338623,0.8845055103302002,0.8961904048919678,0.9009386897087097,0.8985582590103149,0.8802222013473511,0.8914806246757507,0.8858156800270081,0.8696076273918152,0.8929281830787659,0.8811136484146118
What are the elements of the Essence language? Write less than 100 words.,information,0.8586785197257996,0.8462583422660828,0.8524232506752014,0.8289884924888611,0.824540376663208,0.8267584443092346,0.8648021221160889,0.8661054372787476,0.86545330286026,0.8515052795410156,0.8735740184783936,0.8623985052108765,0.855962336063385,0.862579345703125,0.8592581152915955,0.8655274510383606,0.8591635823249817,0.8623338341712952,0.8911288380622864,0.885940670967102,0.8885271549224854,0.8608502149581909,0.8698540925979614,0.8653287887573242
What is the Essence standard used for? Write less than 100 words.,information,0.8918666243553162,0.8993411660194397,0.8955882787704468,0.8767175674438477,0.8910498023033142,0.8838256001472473,0.8568093776702881,0.897165060043335,0.876522958278656,0.8944636583328247,0.9115507006645203,0.9029263854026794,0.8916207551956177,0.8992146253585815,0.8954015970230103,0.8829426169395447,0.9029875993728638,0.8928526043891907,0.8846165537834167,0.889420747756958,0.8870121240615845,0.8477736115455627,0.8689635992050171,0.8582377433776855
What are the Alphas of the Essence Kernel? Write less than 100 words.,information,0.8629739880561829,0.8123482465744019,0.8368961215019226,0.8647748231887817,0.8533548712730408,0.8590269088745117,0.8188153505325317,0.8622270822525024,0.8399606943130493,0.8501164317131042,0.8792659640312195,0.8644455075263977,0.8346091508865356,0.843781054019928,0.8391700387001038,0.8766260147094727,0.8827718496322632,0.8796882033348083,0.8453152179718018,0.8410501480102539,0.8431772589683533,0.8708106875419617,0.877122163772583,0.8739550113677979
What are the Kernel Competencies? Write less than 100 words.,information,0.8364272117614746,0.833178699016571,0.8347997665405273,0.8456965684890747,0.844521701335907,0.8451087474822998,0.8110532760620117,0.8660933971405029,0.8376702070236206,0.8485444188117981,0.8618108630180359,0.8551262021064758,0.8762455582618713,0.88274085521698,0.8794811964035034,0.8517534136772156,0.8562510013580322,0.853996217250824,0.8559186458587646,0.8597045540809631,0.857807457447052,0.8442796468734741,0.8555070161819458,0.8498562574386597
What are the states of the Work alpha? Write less than 100 words.,information,0.9327774047851562,0.8716264367103577,0.901165783405304,0.8519269227981567,0.8282549977302551,0.839924156665802,0.8666972517967224,0.8660920858383179,0.866394579410553,0.850442111492157,0.8529508113861084,0.8516945838928223,0.8416911959648132,0.821268618106842,0.8313544988632202,0.8529483079910278,0.8330919146537781,0.842903196811676,0.8872654438018799,0.863146960735321,0.8750399947166443,0.8730188608169556,0.8517298698425293,0.8622429370880127
What are the Activity Spaces in the Customer Area of Concern? Write less than 100 words.,information,0.9261361360549927,0.9038686752319336,0.9148669242858887,0.8512877225875854,0.8755401968955994,0.8632436394691467,0.8431519865989685,0.894463300704956,0.8680500388145447,0.8365404009819031,0.8878412842750549,0.8614277243614197,0.8842734694480896,0.9037368297576904,0.8938992023468018,0.8614464402198792,0.9009252190589905,0.880743682384491,0.8584877252578735,0.8888845443725586,0.8734217286109924,0.8719860315322876,0.9080959558486938,0.889674723148346
"What are the checklist items of the User Story ""Identified"" Alpha State card? Write less than 100 words.",information,0.8887251615524292,0.8824456930160522,0.8855742812156677,0.8794764876365662,0.8854840993881226,0.8824701309204102,0.8393709063529968,0.8725802302360535,0.8556534647941589,0.8392853736877441,0.8652826547622681,0.8520857691764832,0.85633784532547,0.8775253295898438,0.8668021559715271,0.8462077379226685,0.870907187461853,0.8583798408508301,0.8468763828277588,0.8362243175506592,0.8415166735649109,0.8174718618392944,0.8377466797828674,0.8274850845336914
What is Mad Sad Glad? Write less than 100 words.,information,0.869080126285553,0.8689032793045044,0.8689916729927063,0.8602129220962524,0.8525595664978027,0.856369137763977,0.8465769290924072,0.8628251552581787,0.8546238541603088,0.8309444785118103,0.85189288854599,0.8412882685661316,0.8674104809761047,0.875212550163269,0.8712940216064453,0.8451340198516846,0.8456583023071289,0.845396101474762,0.8539435863494873,0.8598307371139526,0.8568770885467529,0.8507890105247498,0.8495619893074036,0.8501750230789185
What are the steps of Progress Poker? Write less than 150 words.,information,0.9318937659263611,0.9343859553337097,0.9331381916999817,0.8476048111915588,0.8615997433662415,0.854544997215271,0.8992112278938293,0.9254142045974731,0.912124514579773,0.828637421131134,0.8710257411003113,0.8493030071258545,0.9166538715362549,0.9225108623504639,0.9195730090141296,0.8330651521682739,0.8649265170097351,0.8486969470977783,0.9029994010925293,0.9099113941192627,0.9064422249794006,0.8365196585655212,0.8712157607078552,0.8535152077674866
