question,question_type,precision_coach,recall_coach,f1_coach,precision_gpt,recall_gpt,f1_gpt
What is the Essence standard by SEMAT? Write less than 100 words.,information,0.8577656745910645,0.8866223096847534,0.8719553351402283,0.8848639130592346,0.8988271951675415,0.8917908668518066
What are the elements of the Essence language? Write less than 100 words.,information,0.8586785197257996,0.8462584018707275,0.8524231910705566,0.8515053987503052,0.8735742568969727,0.8623986840248108
What is the Essence standard used for? Write less than 100 words.,information,0.8918666839599609,0.8993412256240845,0.8955883979797363,0.8944636583328247,0.9115508198738098,0.9029263854026794
What are the Alphas of the Essence Kernel? Write less than 100 words.,information,0.8629740476608276,0.8123483061790466,0.8368963003158569,0.8501165509223938,0.8792661428451538,0.864445686340332
What are the Kernel Competencies? Write less than 100 words.,information,0.8121947646141052,0.8288103342056274,0.8204184770584106,0.8451144695281982,0.8695703148841858,0.8571680188179016
What are the states of the Work alpha? Write less than 100 words.,information,0.9258304834365845,0.8727161288261414,0.8984890580177307,0.8423439860343933,0.8515850305557251,0.8469393253326416
What are the Activity Spaces in the Customer Area of Concern? Write less than 100 words.,information,0.8958319425582886,0.8990717530250549,0.8974488973617554,0.8281447887420654,0.9010642766952515,0.863067090511322
"What are the checklist items of the User Story ""Identified"" Alpha State card? Write less than 100 words.",information,0.8887251019477844,0.8824456930160522,0.885574221611023,0.8392854332923889,0.8652827143669128,0.8520858287811279
What is Mad Sad Glad? Write less than 100 words.,information,0.8690801858901978,0.8689033389091492,0.8689917922019958,0.8309445381164551,0.8518930077552795,0.8412884473800659
What are the steps of Progress Poker? Write less than 150 words.,information,0.9318938255310059,0.9343860149383545,0.9331382513046265,0.8286374807357788,0.8710258603096008,0.8493030667304993
What practices do you recommend to a group of students who has to make a mobile game for a university project? Write less than 100 words.,decision-making,0.8424611687660217,0.855090320110321,0.8487287163734436,0.8418892621994019,0.8435155153274536,0.8427016139030457
What best practices should we adopt to make our Continuous Integration pipeline more reliable? Write less than 100 words.,decision-making,0.8465149998664856,0.8737931847572327,0.859937846660614,0.815556526184082,0.8562790155410767,0.8354218006134033
What practices can we adopt to minimise the risk of introducing bugs in production? Write less than 100 words.,decision-making,0.8224395513534546,0.8549578189849854,0.8383834362030029,0.7940431833267212,0.8413381576538086,0.8170067667961121
Are there any practices that could improve communication within our distributed teams? Write less than 100 words.,decision-making,0.8100907802581787,0.8342859148979187,0.822010338306427,0.7969056367874146,0.8297846913337708,0.8130128383636475
How can we make better use of feedback from users or stakeholders to improve our process? Write less than 100 words.,decision-making,0.8140964508056641,0.8237082362174988,0.8188741207122803,0.7965332865715027,0.8288840055465698,0.812386691570282
How can we assess if our current Agile practices are truly effective? Write less than 100 words.,decision-making,0.826285183429718,0.8733789920806885,0.8491796851158142,0.7955325841903687,0.8650423884391785,0.828832745552063
Our team only uses the User Stories practice and the following Scrum practices: Sprint Planning and Daily Stand-ups. What Activity Spaces in the three Areas of Concern (in the Essence Kernel) are not being addressed by our current set of practices? Write less than 100 words.,decision-making,0.8385871648788452,0.8579761981964111,0.8481709361076355,0.8051273226737976,0.8540682792663574,0.8288759589195251
"What practice(s) can help us address the ""Explore Possibilities"" Activity Space? Write less than 100 words.",decision-making,0.8485089540481567,0.8504453897476196,0.8494760990142822,0.8158740401268005,0.8475304841995239,0.8314010500907898
"What practice(s) can help us address the ""Coordinate Activity"" Activity Space? Write less than 100 words.",decision-making,0.8523196578025818,0.8694573044776917,0.8608031868934631,0.8184655904769897,0.8767809867858887,0.8466202616691589
"What practice(s) can help us address the ""Prepare to do the work"" Activity Space? Write less than 100 words.",decision-making,0.8340884447097778,0.8478285670280457,0.8409023880958557,0.8083766102790833,0.8382292985916138,0.8230323195457458
What is Essence Kernel Automation? Write less than 100 words.,information,0.7736324071884155,0.8095937967300415,0.7912046909332275,0.7687751054763794,0.8541446328163147,0.8092145323753357
How does Essence Kernel Automation improve software engineering practices? Write less than 100 words.,information,0.780119001865387,0.8325067162513733,0.8054618835449219,0.7723243832588196,0.8685107827186584,0.8175983428955078
What are the key components of Essence Kernel Automation? Write less than 100 words.,information,0.7731053829193115,0.804827094078064,0.7886474132537842,0.7677682638168335,0.8463664650917053,0.8051536679267883
How does Essence Kernel Automation integrate with Agile methodologies? Write less than 100 words.,information,0.7739566564559937,0.8077287673950195,0.7904821634292603,0.7692022323608398,0.8049285411834717,0.7866599559783936
What are the benefits of using Essence Kernel Automation in large-scale projects? Write less than 100 words.,information,0.7824513912200928,0.8048453330993652,0.7934903502464294,0.771312952041626,0.8562178015708923,0.8115507364273071
What are the challenges in implementing Essence Kernel Automation? Write less than 100 words.,information,0.7835198640823364,0.8072838187217712,0.7952243685722351,0.7798994779586792,0.8043323159217834,0.7919274568557739
What is Essence Kernel Lifecycle? Write less than 100 words.,information,0.7813237905502319,0.8043652772903442,0.792677104473114,0.7730064392089844,0.801639199256897,0.7870624661445618
How does Work Product Management fit into Essence Kernel Automation? Write less than 100 words.,information,0.7834315299987793,0.8171922564506531,0.7999558448791504,0.7636234164237976,0.8152568936347961,0.7885958552360535
What are the main phases in the Essence Kernel Automation process? Write less than 100 words.,information,0.7815014123916626,0.806458055973053,0.7937836050987244,0.7612729072570801,0.8060156106948853,0.7830056548118591
How does Essence Kernel Automation handle system constraints? Write less than 100 words.,information,0.7802677154541016,0.8034151792526245,0.7916722893714905,0.7681092023849487,0.8156450986862183,0.7911637425422668
What are the best practices for adopting Essence Kernel Automation? Write less than 100 words.,information,0.7676552534103394,0.8141437768936157,0.7902163863182068,0.760818600654602,0.7984086275100708,0.7791604399681091
"Describe the pair programming practice using the Essence language, in less than 100 words.",translation,0.8144004940986633,0.8374541401863098,0.8257664442062378,0.804332435131073,0.8298535346984863,0.8168936371803284
"Describe a simplified Scrum practice using the Essence language, in less than 100 words.",translation,0.8041885495185852,0.8670413494110107,0.8344330787658691,0.8118221759796143,0.8402320742607117,0.8257827758789062
"Explain retrospectives using Essence terms, in less than 100 words.",translation,0.8296852111816406,0.8448231816291809,0.8371857404708862,0.831071138381958,0.837525486946106,0.8342857956886292
Describe the DevOps practice using Essence terms in less than 100 words.,translation,0.8066455721855164,0.8375479578971863,0.8218063712120056,0.7868161797523499,0.8456789255142212,0.8151863813400269
Describe the Human-Centered Design practice using Essence terms in less than 100 words.,translation,0.8023306727409363,0.8343810439109802,0.8180420398712158,0.7880492210388184,0.8474631309509277,0.8166770339012146
Essentialize the Prototypes practice. Write less than 100 words.,translation,0.8154333829879761,0.846226692199707,0.8305447101593018,0.777124285697937,0.8414102792739868,0.8079906105995178
"What's the difference between user stories and use cases? Explain it using the Essence language, in less than 250 words.",translation,0.8257657885551453,0.8238288760185242,0.824796199798584,0.7787572145462036,0.8148334622383118,0.7963869571685791
"Translate this practice using the Essence language in less than 200 words: We write clean, efficient code, review each other's pull requests, and collaborate on designing and implementing features. We debug issues, create automated tests, optimize performance, and maintain clear documentation, ensuring our project meets user needs and upholds high-quality standards.",translation,0.791861355304718,0.8584852814674377,0.8238285779953003,0.7769204378128052,0.8456870913505554,0.8098466396331787
"Translate this practice using the Essence language in less than 200 words: We hold retrospectives to reflect on our work, celebrate successes, and identify areas for improvement. Together, we discuss what went well, what didn’t, and how to adapt. This practice strengthens our collaboration, fosters transparency, and helps us continuously improve as a team.",translation,0.7964920997619629,0.8778167963027954,0.8351794481277466,0.7732588648796082,0.8498827219009399,0.8097622394561768
